highest_common_parent,file_count,total_size_bytes,migration_decision
renamed\Lucasfilm Press; George Mann,17,259932818,Migrate
renamed\Nick Offerman,30,676855089,Migrate
renamed\Not On Phone\A.A. Livingston; Dan Livingston,40,441035844,Migrate
renamed\Not On Phone\Alexey Osadchuk; Andrew Douglas Schmitt - Translated by,230,3878730933,Review
renamed\Not On Phone\Andy Weir,5,33910638,Migrate
renamed\Not On Phone\Ben Hale,108,1005808394,Migrate
renamed\Not On Phone\Bobby Adair,381,1116804689,Migrate
renamed\Not On Phone\Charles Kindinger,12,301224146,Migrate
renamed\Not On Phone\Christopher Golden; Dirk Maggs,10,140893171,Migrate
renamed\Not On Phone\D.J. Bodden; James Hunter,78,1825395014,Migrate
renamed\Not On Phone\Dakota Krout,375,3368205338,Migrate
renamed\Not On Phone\David A. Wells,101,1089221680,Migrate
renamed\Not On Phone\David Estes,252,4743364662,Migrate
renamed\Not On Phone\Donald Sobol,153,347749671,Migrate
renamed\Not On Phone\Drew Hayes,1002,7423404023,Migrate
renamed\Not On Phone\Edward W. Robertson,92,1902321109,Migrate
renamed\Not On Phone\Elliott Kay,23,1272098217,Migrate
renamed\Not On Phone\Emily McIntire,49,522216125,Migrate
renamed\Not On Phone\Eric Ugland,1431,10346369893,Migrate
renamed\Not On Phone\Ivan Kal,515,5619841973,Migrate
renamed\Not On Phone\Jaime Castle; Andy Peloquin,303,4953519809,Migrate
renamed\Not On Phone\Jaleigh Johnson,41,539218632,Migrate
renamed\Not On Phone\James Hunter; eden Hudson,95,1172408005,Migrate
renamed\Not On Phone\Jeff Pearlman,36,1268908733,Migrate
renamed\Not On Phone\Jez Cajiao,126,3395392508,Migrate
renamed\Not On Phone\John Lutz,13,258387847,Migrate
renamed\Not On Phone\Jonathan Renshaw,68,855421806,Migrate
renamed\Not On Phone\Kirill Klevanski,1476,14270747729,Migrate
renamed\Not On Phone\Kotaro Isaka; Sam Malissa - translator,51,789931985,Migrate
renamed\Not On Phone\Luke Chmilenko; G.D. Penman,38,1074763767,Migrate
renamed\Not On Phone\Matt Larkin,500,2698026217,Migrate
renamed\Not On Phone\Michael Atamanov; Andrew Schmitt - translator,175,2674266842,Review
renamed\Not On Phone\RinoZ,435,1602011506,Migrate
renamed\Not On Phone\Sarah J. Maas,47,466941876,Migrate
renamed\Not On Phone\Sarah Lin,169,2381189439,Migrate
renamed\Not On Phone\Sean Oswald,51,889810252,Migrate
renamed\Not On Phone\Seth Ring,98,1389757528,Migrate
renamed\Not On Phone\Stephen R. Donaldson,182,4889696736,Migrate
renamed\Not On Phone\Tao Wong,79,1514758376,Migrate
renamed\Not On Phone\Tom Elliot,91,917638237,Migrate
renamed\Not On Phone\Torsten Weitze; Tim Casey - translator,246,8753232494,Migrate
renamed\Not On Phone\Travis Bagwell,158,3584152228,Migrate
renamed\Not On Phone\Warren Murphy; Richard Sapir,7,459829275,Migrate
renamed\Not On Phone\Zogarth,75,1165821847,Migrate
renamed\On Phone,2980,40941971984,Migrate
renamed\R. A. Salvatore,178,2833142471,Migrate
renamed\R.A. Salvatore,23,1272557798,Migrate
renamed\Robin Hobb,103,2442526491,Migrate
renamed\Sean Oswald\Class Shift\[02] Unbalanced,49,629193355,Migrate
renamed\Sean Oswald\Class Shift\[03] Unstoppable,22,257450563,Review
renamed\Sean Oswald\Class Shift\[03] Unstoppable (2),56,723657323,Migrate
renamed\Sean Oswald\Class Shift\[03] Unstoppable (3),4,1435713199,Migrate
renamed\SourpatchHero,69,1016151536,Migrate
renamed\Stephen R. Donaldson,30,943091727,Migrate
renamed\Tamsyn Muir,100,1999135036,Migrate
renamed\TheFirstDefier; JF Brink,81,716016543,Migrate
renamed\Various; Charlaine Harris - editor; Toni L. P. Kelner - editor,2,2253940,Review
renamed\XKarnation,170,2675033987,Migrate
Space Team Saga,2,1399924984,Migrate
Magic 2.0,9,4508662150,Migrate
"James Moriarty, Consulting Criminal",2,67806830,Migrate
Audible Original StoriesFeedback,1,31843159,Migrate
The Locked Tomb Trilogy,1,1135675936,Migrate
Cinnamon Bun,1,866897519,Migrate
The Corrupted Campaign,1,747918041,Migrate
Expeditionary Force,1,469371162,Migrate
"Legend of Drizzt, Generations",2,1615084617,Migrate
"Black Gun, Silver Star",1,322256133,Migrate
"Legend of Drizzt, Generations, Legend of Drizzt_ Homecoming",1,789807533,Migrate
The Keeper Chronicles,1,1331622023,Migrate
"Discount Dan's Backroom Bargains, Discount Dan's Backroom Bargains",1,884271407,Migrate
Assistant to the Villain,1,795673806,Migrate
Mage Tank,2,2293043644,Migrate
Flybot,1,551114448,Migrate
The Completionist Chronicles,1,365693423,Migrate
1-800-Starship,1,663945042,Migrate
The Finest Edge of Twilight,1,682563213,Migrate
My Best Friend is an Eldritch Horror,1,2026007295,Migrate
Deathless,1,2162430957,Migrate
Fall of Radiance,1,1459156871,Migrate
The Paternus Trilogy,1,1765947352,Migrate
